estado;municipio;codmun;data;semanaEpi;casosAcumuladoJulho;casosNovosJulho;obitosAcumuladoJulho;obitosNovosJulho
;;;31/07/2020;31;2662485;52383;92475;1212
RO;;;31/07/2020;31;38992;585;872;8
AC;;;31/07/2020;31;19625;52;531;10
AM;;;31/07/2020;31;100940;800;3268;16
RR;;;31/07/2020;31;32016;561;505;4
PA;;;31/07/2020;31;154685;1335;5728;29
AP;;;31/07/2020;31;36468;196;565;4
TO;;;31/07/2020;31;24824;546;381;13
MA;;;31/07/2020;31;120661;1399;3013;17
PI;;;31/07/2020;31;51477;1279;1329;25
CE;;;31/07/2020;31;173882;2414;7668;7
RN;;;31/07/2020;31;50416;749;1777;26
PB;;;31/07/2020;31;82794;1686;1811;26
PE;;;31/07/2020;31;95005;1632;6557;31
AL;;;31/07/2020;31;59725;746;1567;13
SE;;;31/07/2020;31;58713;1029;1434;26
BA;;;31/07/2020;31;166154;4524;3463;72
MG;;;31/07/2020;31;127106;3691;2769;77
ES;;;31/07/2020;31;83292;1407;2545;31
RJ;;;31/07/2020;31;165495;1853;13477;129
SP;;;31/07/2020;31;542304;13298;22997;287
PR;;;31/07/2020;31;76112;2624;1920;59
SC;;;31/07/2020;31;84073;3169;1102;59
RS;;;31/07/2020;31;66692;219;1876;51
MS;;;31/07/2020;31;24936;649;376;19
MT;;;31/07/2020;31;51865;1418;1819;56
GO;;;31/07/2020;31;67941;2672;1656;92
DF;;;31/07/2020;31;106292;1850;1469;25
RO;;110000;31/07/2020;31;0;0;0;0
RO;Alta Floresta D'Oeste;110001;31/07/2020;31;304;11;2;0
RO;Ariquemes;110002;31/07/2020;31;2627;65;41;0
RO;Cabixi;110003;31/07/2020;31;44;0;3;0
RO;Cacoal;110004;31/07/2020;31;759;12;12;0
RO;Cerejeiras;110005;31/07/2020;31;104;4;5;0
RO;Colorado do Oeste;110006;31/07/2020;31;80;0;0;0
RO;Corumbiara;110007;31/07/2020;31;19;0;1;0
RO;Costa Marques;110008;31/07/2020;31;82;3;1;0
RO;Espigão D'Oeste;110009;31/07/2020;31;258;2;6;0
RO;Guajará-Mirim;110010;31/07/2020;31;2251;27;68;0
