estado;municipio;codmun;data;semanaEpi;casosAcumuladoJunho;casosNovosJunho;obitosAcumuladoJunho;obitosNovosJunho
;;;30/06/2020;27;1402041;33846;59594;1280
RO;;;30/06/2020;27;21251;845;518;18
AC;;;30/06/2020;27;13253;107;365;4
AM;;;30/06/2020;27;70823;930;2823;31
RR;;;30/06/2020;27;14641;182;283;2
PA;;;30/06/2020;27;103206;1999;4920;50
AP;;;30/06/2020;27;28492;239;417;4
TO;;;30/06/2020;27;10764;405;200;5
MA;;;30/06/2020;27;80451;1482;2048;36
PI;;;30/06/2020;27;20422;669;663;20
CE;;;30/06/2020;27;108699;474;6146;70
RN;;;30/06/2020;27;30287;566;1034;40
PB;;;30/06/2020;27;46957;1900;977;46
PE;;;30/06/2020;27;58858;382;4829;47
AL;;;30/06/2020;27;35962;845;1052;20
SE;;;30/06/2020;27;25411;594;676;23
BA;;;30/06/2020;27;73307;3840;1853;53
MG;;;30/06/2020;27;45001;1137;965;25
ES;;;30/06/2020;27;46893;1796;1648;27
RJ;;;30/06/2020;27;112611;728;10080;232
SP;;;30/06/2020;27;281380;6235;14763;365
PR;;;30/06/2020;27;22877;1551;649;36
SC;;;30/06/2020;27;26354;1298;341;17
RS;;;30/06/2020;27;26941;1282;614;32
MS;;;30/06/2020;27;7965;289;76;1
MT;;;30/06/2020;27;15636;550;593;11
GO;;;30/06/2020;27;24381;1374;474;37
DF;;;30/06/2020;27;49218;2147;587;28
RO;;110000;30/06/2020;27;0;0;0;0
RO;Alta Floresta D'Oeste;110001;30/06/2020;27;108;4;0;0
RO;Ariquemes;110002;30/06/2020;27;1316;80;21;0
RO;Cabixi;110003;30/06/2020;27;4;1;1;1
RO;Cacoal;110004;30/06/2020;27;290;15;5;1
RO;Cerejeiras;110005;30/06/2020;27;32;1;2;0
RO;Colorado do Oeste;110006;30/06/2020;27;46;13;0;0
RO;Corumbiara;110007;30/06/2020;27;4;0;0;0
RO;Costa Marques;110008;30/06/2020;27;25;0;1;0
RO;Espigão D'Oeste;110009;30/06/2020;27;62;5;2;0
RO;Guajará-Mirim;110010;30/06/2020;27;1250;49;43;0
RO;Jaru;110011;30/06/2020;27;498;17;8;1
RO;Ji-Paraná;110012;30/06/2020;27;506;17;11;1
RO;Machadinho D'Oeste;110013;30/06/2020;27;98;12;1;0
RO;Nova Brasilândia D'Oeste;110014;30/06/2020;27;14;1;0;0
RO;Ouro Preto do Oeste;110015;30/06/2020;27;219;21;3;0
RO;Pimenta Bueno;110018;30/06/2020;27;177;8;3;0
RO;Porto Velho;110020;30/06/2020;27;13133;338;365;11
RO;Presidente Médici;110025;30/06/2020;27;32;1;1;0
RO;Rio Crespo;110026;30/06/2020;27;15;1;0;0
RO;Rolim de Moura;110028;30/06/2020;27;367;25;3;1
RO;Santa Luzia D'Oeste;110029;30/06/2020;27;12;0;0;0
RO;Vilhena;110030;30/06/2020;27;545;79;6;0
RO;São Miguel do Guaporé;110032;30/06/2020;27;738;25;7;0
RO;Nova Mamoré;110033;30/06/2020;27;233;24;5;0
RO;Alvorada D'Oeste;110034;30/06/2020;27;18;0;1;0
RO;Alto Alegre dos Parecis;110037;30/06/2020;27;39;2;1;0
RO;Alto Paraíso;110040;30/06/2020;27;62;1;4;1
RO;Buritis;110045;30/06/2020;27;149;22;2;0
RO;Novo Horizonte do Oeste;110050;30/06/2020;27;23;4;1;0
RO;Cacaulândia;110060;30/06/2020;27;16;1;0;0
RO;Campo Novo de Rondônia;110070;30/06/2020;27;59;14;2;0
RO;Candeias do Jamari;110080;30/06/2020;27;471;21;11;0
RO;Castanheiras;110090;30/06/2020;27;19;0;0;0
RO;Chupinguaia;110092;30/06/2020;27;11;0;0;0
RO;Cujubim;110094;30/06/2020;27;93;7;3;1
RO;Governador Jorge Teixeira;110100;30/06/2020;27;39;9;0;0
RO;Itapuã do Oeste;110110;30/06/2020;27;126;11;0;0
RO;Ministro Andreazza;110120;30/06/2020;27;3;0;1;0
RO;Mirante da Serra;110130;30/06/2020;27;53;2;2;0
RO;Monte Negro;110140;30/06/2020;27;55;1;1;0
RO;Nova União;110143;30/06/2020;27;47;3;0;0
RO;Parecis;110145;30/06/2020;27;1;0;0;0
RO;Pimenteiras do Oeste;110146;30/06/2020;27;39;1;0;0
RO;Primavera de Rondônia;110147;30/06/2020;27;5;0;0;0
RO;São Felipe D'Oeste;110148;30/06/2020;27;12;-1;0;0
RO;São Francisco do Guaporé;110149;30/06/2020;27;46;3;1;0
RO;Seringueiras;110150;30/06/2020;27;32;0;0;0
RO;Teixeirópolis;110155;30/06/2020;27;4;0;0;0
RO;Theobroma;110160;30/06/2020;27;20;2;0;0
RO;Urupá;110170;30/06/2020;27;26;0;0;0
RO;Vale do Anari;110175;30/06/2020;27;43;4;0;0
RO;Vale do Paraíso;110180;30/06/2020;27;16;1;0;0
AC;Acrelândia;120001;30/06/2020;27;192;0;3;0
AC;Assis Brasil;120005;30/06/2020;27;175;1;5;0
AC;Brasiléia;120010;30/06/2020;27;344;0;6;0
AC;Bujari;120013;30/06/2020;27;181;3;3;0
AC;Capixaba;120017;30/06/2020;27;144;2;5;0
AC;Cruzeiro do Sul;120020;30/06/2020;27;2049;8;35;0
AC;Epitaciolândia;120025;30/06/2020;27;157;0;6;0
AC;Feijó;120030;30/06/2020;27;222;0;5;0
AC;Jordão;120032;30/06/2020;27;35;0;0;0
AC;Mâncio Lima;120033;30/06/2020;27;136;0;3;0
AC;Manoel Urbano;120034;30/06/2020;27;49;0;1;1
AC;Marechal Thaumaturgo;120035;30/06/2020;27;149;0;1;0
AC;Plácido de Castro;120038;30/06/2020;27;290;6;6;0
AC;Porto Walter;120039;30/06/2020;27;51;0;0;0
AC;Rio Branco;120040;30/06/2020;27;6853;81;259;3
