estado;municipio;codmun;data;semanaEpi;casosAcumuladoMaio;casosNovosMaio;obitosAcumuladoMaio;obitosNovosMaio
;;;31/05/2020;23;514200;15760;29314;480
RO;;;31/05/2020;23;4942;199;156;5
AC;;;31/05/2020;23;6219;147;148;6
AM;;;31/05/2020;23;41378;818;2052;5
RR;;;31/05/2020;23;3474;175;116;6
PA;;;31/05/2020;23;37961;665;2923;23
AP;;;31/05/2020;23;9602;289;222;7
TO;;;31/05/2020;23;4176;195;73;2
MA;;;31/05/2020;23;34639;2019;955;23
PI;;;31/05/2020;23;4931;186;161;4
CE;;;31/05/2020;23;48489;1983;3010;54
RN;;;31/05/2020;23;7402;0;305;0
PB;;;31/05/2020;23;13162;300;360;13
PE;;;31/05/2020;23;34450;1023;2807;67
AL;;;31/05/2020;23;10288;1065;443;19
SE;;;31/05/2020;23;6999;194;158;9
BA;;;31/05/2020;23;18392;766;667;29
MG;;;31/05/2020;23;10464;834;271;8
ES;;;31/05/2020;23;13690;253;604;21
RJ;;;31/05/2020;23;53388;968;5344;67
SP;;;31/05/2020;23;109698;2556;7615;83
PR;;;31/05/2020;23;4687;214;182;1
SC;;;31/05/2020;23;9037;259;143;7
RS;;;31/05/2020;23;9332;90;224;6
MS;;;31/05/2020;23;1489;71;20;1
MT;;;31/05/2020;23;2429;68;61;4
GO;;;31/05/2020;23;3702;117;124;2
DF;;;31/05/2020;23;9780;306;170;8
RO;;110000;31/05/2020;23;0;0;0;0
RO;Alta Floresta D'Oeste;110001;31/05/2020;23;3;0;0;0
RO;Ariquemes;110002;31/05/2020;23;361;29;5;1
RO;Cabixi;110003;31/05/2020;23;0;0;0;0
RO;Cacoal;110004;31/05/2020;23;54;3;0;0
RO;Cerejeiras;110005;31/05/2020;23;3;1;1;0
RO;Colorado do Oeste;110006;31/05/2020;23;0;0;0;0
RO;Corumbiara;110007;31/05/2020;23;0;0;0;0
RO;Costa Marques;110008;31/05/2020;23;2;1;0;0
RO;Espigão D'Oeste;110009;31/05/2020;23;23;1;2;0
RO;Guajará-Mirim;110010;31/05/2020;23;226;0;20;0
RO;Jaru;110011;31/05/2020;23;64;8;0;0
RO;Ji-Paraná;110012;31/05/2020;23;108;2;5;0
RO;Machadinho D'Oeste;110013;31/05/2020;23;3;0;0;0
RO;Nova Brasilândia D'Oeste;110014;31/05/2020;23;4;0;0;0
RO;Ouro Preto do Oeste;110015;31/05/2020;23;29;3;0;0
RO;Pimenta Bueno;110018;31/05/2020;23;26;3;0;0
RO;Porto Velho;110020;31/05/2020;23;3495;134;109;4
RO;Presidente Médici;110025;31/05/2020;23;3;0;0;0
RO;Rio Crespo;110026;31/05/2020;23;5;0;0;0
RO;Rolim de Moura;110028;31/05/2020;23;32;0;2;0
RO;Santa Luzia D'Oeste;110029;31/05/2020;23;2;0;0;0
RO;Vilhena;110030;31/05/2020;23;51;3;0;0
RO;São Miguel do Guaporé;110032;31/05/2020;23;194;0;2;0
RO;Nova Mamoré;110033;31/05/2020;23;21;0;3;0
RO;Alvorada D'Oeste;110034;31/05/2020;23;2;-1;0;0
RO;Alto Alegre dos Parecis;110037;31/05/2020;23;4;0;0;0
RO;Alto Paraíso;110040;31/05/2020;23;9;2;1;0
RO;Buritis;110045;31/05/2020;23;19;0;1;0
RO;Novo Horizonte do Oeste;110050;31/05/2020;23;2;0;0;0
RO;Cacaulândia;110060;31/05/2020;23;2;0;0;0
RO;Campo Novo de Rondônia;110070;31/05/2020;23;1;0;1;0
RO;Candeias do Jamari;110080;31/05/2020;23;79;3;1;0
RO;Castanheiras;110090;31/05/2020;23;0;0;0;0
RO;Chupinguaia;110092;31/05/2020;23;0;0;0;0
RO;Cujubim;110094;31/05/2020;23;21;2;1;0
RO;Governador Jorge Teixeira;110100;31/05/2020;23;4;0;0;0
RO;Itapuã do Oeste;110110;31/05/2020;23;11;0;0;0
RO;Ministro Andreazza;110120;31/05/2020;23;1;0;0;0
RO;Mirante da Serra;110130;31/05/2020;23;17;1;1;0
RO;Monte Negro;110140;31/05/2020;23;5;3;0;0
RO;Nova União;110143;31/05/2020;23;0;0;0;0
RO;Parecis;110145;31/05/2020;23;0;0;0;0
RO;Pimenteiras do Oeste;110146;31/05/2020;23;5;0;0;0
RO;Primavera de Rondônia;110147;31/05/2020;23;5;0;0;0
RO;São Felipe D'Oeste;110148;31/05/2020;23;1;0;0;0
RO;São Francisco do Guaporé;110149;31/05/2020;23;12;1;1;0
RO;Seringueiras;110150;31/05/2020;23;1;0;0;0
RO;Teixeirópolis;110155;31/05/2020;23;0;0;0;0
